x y_gt y_nn y_rg
0.0 0.0 0.0 0.0
0.1937 1.466 1.183 1.489
0.3875 2.932 2.652 2.975
0.581 4.4 4.152 4.453
0.775 5.863 5.7 5.93
0.9688 7.332 7.273 7.395
1.162 8.8 8.86 8.86
1.356 10.266 10.42 10.31
1.55 11.73 11.95 11.82
1.744 13.195 13.25 13.19
1.9375 14.664 13.55 13.29
2.26 13.96 13.19 13.06
2.584 13.4 12.93 12.91
2.906 12.94 12.73 12.77
3.875 12.51 12.305 12.45
5.582 11.98 11.83 12.086
8.23 11.64 11.41 11.73
11.46 11.305 11.125 11.445
19.89 10.79 10.77 11.01
24.27 10.61 10.65 10.836
28.64 10.46 10.53 10.664
33.0 10.36 10.42 10.5
37.38 10.28 10.32 10.35
41.75 10.21 10.22 10.2
46.12 10.14 10.13 10.08
50.5 10.07 10.05 9.96
59.25 9.945 9.89 9.766
63.62 9.9 9.83 9.68
68.0 9.85 9.766 9.61
72.4 9.805 9.71 9.55
76.75 9.75 9.664 9.49
81.1 9.7 9.62 9.445
85.5 9.664 9.58 9.4
89.9 9.63 9.54 9.37
98.6 9.57 9.47 9.305
103.0 9.55 9.445 9.28
107.4 9.516 9.414 9.26
111.75 9.484 9.39 9.234
116.1 9.45 9.37 9.22
120.44 9.42 9.35 9.2
124.8 9.39 9.33 9.195
129.2 9.37 9.31 9.18
138.0 9.32 9.28 9.164
142.4 9.3 9.266 9.16
146.8 9.27 9.25 9.15
151.1 9.24 9.234 9.14
155.5 9.21 9.23 9.13
159.9 9.17 9.21 9.13
164.2 9.16 9.2 9.125
168.6 9.15 9.19 9.125
177.4 9.125 9.17 9.12
181.8 9.125 9.164 9.12
186.0 9.11 9.15 9.11
190.4 9.09 9.14 9.11
194.8 9.086 9.13 9.11
199.1 9.07 9.125 9.11
203.5 9.055 9.12 9.11
207.9 9.04 9.11 9.11
216.6 8.99 9.09 9.1
221.0 8.97 9.086 9.1
225.4 8.945 9.08 9.1
229.8 8.92 9.07 9.1
234.1 8.914 9.06 9.1
238.5 8.9 9.06 9.1
242.9 8.89 9.055 9.1
247.2 8.88 9.05 9.1
256.0 8.87 9.03 9.1
260.5 8.86 9.02 9.1
264.8 8.85 9.016 9.1
269.2 8.84 9.016 9.1
273.5 8.82 9.01 9.1
278.0 8.8 9.0 9.1
282.2 8.79 8.99 9.1
286.8 8.78 8.984 9.1
295.5 8.75 8.98 9.1
